428	nuu]nu、kwii]nu	⓪、⓪	句			何のかの。～Ndi ?ici kuuNtaN.何のかのと言って来なかった。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
428	nuu]sabiN、neeN	⓪、⓪	句			何のさしさわりもない。いっこうさしつかえない。maakara ?aQciN～.どんな所へ出ても,いっこうさしさわりない。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
435	-Ndi］ru		助			という。-Ndi ?juru（という）の略。					
435	-Ndi］sa		助			とさ。ということだ。-Ndi ?jusa（と言うよ）の略。'juuriinu ?NzitaNdisa.幽霊が出たとさ。					
435	'Nkasiba］nasi	⓪	名			昔話。					
435	'Nkasigu］tu	⓪	名			昔の事。					
435	'Nkasihu］uzi	⓪	名			昔風。昔流。					
435	'Nkasimunuga］tai	⓪	名			物語。昔話。					
435	'Nkasi］Ncu	⓪	名			昔の人。古人･老人･故人など。～nu ?ikutuba.昔の人のことば。格言。					
435	'Nkasi］?uta	⓪	名			昔の歌。古歌。					
436	'NmoogaQ］kui	⓪	名			子供の遊戯の名。ごっつんこ。額と額とを突き合わせること。					
436	'Nnadii］karadii	⓪	副			素手。手ぶら。徒手。～Qsi.手ぶらで。～?icuN.手ぶらで行く。					
436	'Nnaduu］karaduu	⓪	副			身一つ。素手。手ぶら。					
437	'Nnitaara、warijuN	①、①	句			心配で,胸がつぶれる。tadeemanu kutu 'jati 'Nnitaara 'waritooN.突然のことなので,心配で胸がつぶれる思いだ。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
437	'NNN］N	⓪	感			ううん。いや。いいえ。目下またはきわめて親しい者に対して,軽く,否定または拒絶の意を表わす語。					
447	rakubuCinu、mi?uubi	①、①	句	文		金糸のはいった帯。?weekata[親方]以上の位階の人がしめる帯。rakubuCiは織物の名か。rakubuCinu mi?ubi 'juhwara ?usimawaci sjuNzanasimedei di 'wane sadara.[らくぶつの御帯よわらおし廻ち首里ぎやなしみやだいでわないさだら]三司官の大帯を腰にきりりとしめて,首里王府への御奉公に,いざ,わたしは先がけしよう。					1つの見出し語の中に、複数のアクセント型が存在したので、見出し語はアクセント型の変わり目で句読点で句切り、アクセント型は発生順に句読点で句切って入力。
467	-Si（]）ga		接尾			が。けれども。活用する語の「短縮形」（apocopated form）につく。'judaSiga 'wakaraNtaN.（読んだがわからなかった。）,'jumaNSiga（読まないが）,tuusataSiga（遠かったが）など。					
475	Simeeci=ju］N	①	自=raN,=Qci			すっかり整える。無駄なくきりつめる。また,部屋の使い方などに無駄がない。?ariga kurasee SimeeciQcookutu ?uhooku tamitooru hazi doo.彼の暮らしはきりつめてやっているから,たくさんためているだろうよ。'jaa～.家を無駄なく住む。					
475	Simeekame］e	①	名			身構えばかりすること。やたらに身構えすること。～nu cuusaN.身構えばかりが大げさである。～sjuN.					
475	simihudika］bi	⓪	名			墨と筆と紙。学用品。文房具。					
